treatment,preference_accuracy,csep_xfit,p_cluster,d,responses,preference_pairs,unequal_length_pairs
Regression baseline,0.7741007194244605,0.015025761610423044,0.0004997501249375312,0.5092333462340174,1824,695,692
Regression FairReweighing,0.7683453237410072,0.004138457207114127,0.046476761619190406,0.15205133776099095,1824,695,692
Comparative All,0.8,0.040520780080858854,0.0004997501249375312,0.33438857770568853,1824,695,692
Comparative q=0,0.4330935251798561,0.7758213424731847,0.0004997501249375312,-3.9057505959974104,1824,695,692
Comparative q=0.25,0.7223021582733813,0.01855278826934327,0.0014992503748125937,-0.28838387440775115,1824,695,692
Comparative q=0.5,0.7424460431654676,0.0009807796116575408,0.06146926536731634,0.1440867904135326,1824,695,692
Comparative q=0.75,0.758273381294964,0.06248108928539979,0.0004997501249375312,0.7484991735880978,1824,695,692
Comparative q=1,0.6388489208633094,0.6631434807971798,0.0004997501249375312,3.381475464051525,1824,695,692
